family,name,n_splits,full_auc,private_median,private_p10,private_p05,private_mean,private_std,public_median,gap_median,delta_ref_median,delta_ref_p10,private_win_rate,beats_ref_rate
ALL,best_rust_csweep_stack,580,0.9538841133453734,0.9538885092386948,0.9510789504741506,0.9472108900421388,0.9534899488648685,0.006099725442845144,0.95369851672664,-4.524773144437555e-05,7.9007858479474e-06,5.270319189032424e-06,0.8758620689655172,1.0
ALL,best_blend_meta_rust_w65,580,0.9538827699342219,0.953887000629118,0.9510773863669804,0.9472087171212104,0.9534885876813654,0.0060995724580055685,0.9536966842320236,-4.373180271627364e-05,6.542151588739831e-06,4.260748301587736e-06,0.039655172413793106,1.0
ALL,best_blend_meta_rust_multi_w100_620_280,580,0.9538830195677815,0.9538870926900387,0.9510771215246426,0.9472087265559571,0.9534888525896218,0.0060997860662300295,0.9536945662488985,-4.264314876140096e-05,6.812430505431788e-06,4.22512858461177e-06,0.07413793103448275,1.0
ALL,rstack_liblinear_c004_s42_j5,580,0.953879681105262,0.9538851519634787,0.9510751677807195,0.9472055389036013,0.9534855395444034,0.006100800023169384,0.9536962035376968,-4.84004481351441e-05,3.6488128666856134e-06,-8.799780937263079e-07,0.0,0.853448275862069
ALL,rstack_liblinear_s42_j5,580,0.9538812593307255,0.9538849614619325,0.9510750887339388,0.9472046263631428,0.9534870910861964,0.006100466420959798,0.9536977533905558,-4.1611118359596855e-05,5.029393324862408e-06,8.237752578410536e-07,0.008620689655172414,0.9620689655172414
ALL,rstack_liblinear_c006_s42_j5,580,0.9538780694348227,0.9538830119602597,0.9510733566286836,0.9472063069626194,0.95348375966086,0.006100456445930765,0.9536910000826111,-4.285431440309573e-05,2.07223717579863e-06,-3.1641123603431964e-06,0.0017241379310344827,0.6896551724137931
ALL,best_meta_bag_c008_s6,580,0.9538763057816942,0.9538813273204287,0.9510719460262094,0.947205944887908,0.9534820037112927,0.006098952341945409,0.9536900053462969,-4.907096449618953e-05,0.0,0.0,0.0,0.0
race_year,best_rust_csweep_stack,250,0.9538841133453734,0.9537988486615181,0.950857332191772,0.9501231048427669,0.9538462791745235,0.002284682807525427,0.9531616281503121,-0.0006975463459515385,7.830952873988384e-06,5.210645460385077e-06,0.888,1.0
race_year,best_blend_meta_rust_multi_w100_620_280,250,0.9538830195677815,0.9537986761590073,0.9508565862321615,0.9501221005316929,0.9538451737145319,0.0022847592989821974,0.9531606194532168,-0.0006986781853356439,6.704939467250259e-06,4.04971390821629e-06,0.064,1.0
race_year,best_blend_meta_rust_w65,250,0.9538827699342219,0.9537982166247457,0.9508557871475087,0.9501219999593041,0.9538449090799865,0.002284751097916285,0.9531604731082697,-0.0006985243128149188,6.33830238888633e-06,4.123015124646301e-06,0.032,1.0
race_year,rstack_liblinear_s42_j5,250,0.9538812593307255,0.9537971003119925,0.9508550571543415,0.950119445802449,0.9538433922467373,0.002284866173833296,0.9531562443236011,-0.000701586671108978,4.8264145447451945e-06,1.375833685812733e-06,0.012,0.96
race_year,rstack_liblinear_c004_s42_j5,250,0.953879681105262,0.9537930084167092,0.9508516035637041,0.9501187112643427,0.9538418381113885,0.002285085319670033,0.9531567278788002,-0.0006988629925884782,3.418075669114895e-06,-9.089852478494359e-08,0.0,0.888
race_year,rstack_liblinear_c006_s42_j5,250,0.9538780694348227,0.9537919256363254,0.9508510140968185,0.9501153621122957,0.953840236086274,0.0022847241068625493,0.9531525580380686,-0.0006961262574963212,1.7833815025847244e-06,-2.7378471452621513e-06,0.004,0.684
race_year,best_meta_bag_c008_s6,250,0.9538763057816942,0.9537911352496694,0.9508472765124129,0.9501170186428524,0.9538384499204262,0.002284951198999877,0.9531598000134245,-0.0006928085715523502,0.0,0.0,0.0,0.0
stratified,best_rust_csweep_stack,250,0.9538841133453734,0.9538751476966176,0.9536918343036197,0.9536438431642459,0.9538752637187949,0.00014164331018994187,0.9539137104003526,3.856270373486792e-05,7.82919416947303e-06,5.449213490460458e-06,0.892,1.0
stratified,best_blend_meta_rust_multi_w100_620_280,250,0.9538830195677815,0.9538743509451872,0.953691597878365,0.9536428312464659,0.953874194103879,0.00014159647054469288,0.9539116155979183,3.701535863431804e-05,6.73259660927128e-06,4.5315374225807226e-06,0.04,1.0
stratified,best_blend_meta_rust_w65,250,0.9538827699342219,0.9538738406450478,0.953690918554172,0.9536426333129446,0.9538739487047433,0.00014155765958388276,0.9539119136934695,3.802099353689137e-05,6.427133289299558e-06,4.35160941101298e-06,0.06,1.0
stratified,rstack_liblinear_s42_j5,250,0.9538812593307255,0.9538722287401695,0.9536891787552736,0.9536409796044782,0.9538724433341249,0.00014160792119641616,0.9539146677222182,4.152152456832203e-05,4.875594144582163e-06,1.774894900408164e-06,0.008,0.98
stratified,rstack_liblinear_c004_s42_j5,250,0.953879681105262,0.9538704179460853,0.9536868029328405,0.9536400578438743,0.9538709178447132,0.00014165927274247767,0.9539127567385959,4.2913982636449965e-05,3.6367876249387976e-06,-2.6323526544080875e-07,0.0,0.888
stratified,best_meta_bag_c008_s6,250,0.9538763057816942,0.9538678745534594,0.9536849004336755,0.9536378808953969,0.9538674732146127,0.00014148566746082219,0.9539034295606053,3.555500714585991e-05,0.0,0.0,0.0,0.0
stratified,rstack_liblinear_c006_s42_j5,250,0.9538780694348227,0.9538702798292871,0.9536835194995312,0.9536363876199873,0.953869055378781,0.0001418501581699647,0.9539076077784677,3.851470137522517e-05,1.9935433996365326e-06,-2.418370743817455e-06,0.0,0.712
year,best_rust_csweep_stack,80,0.9538841133453734,0.9584428929824835,0.9302892334191648,0.9302892334191648,0.9511723077286769,0.015720735171367,0.934082567926458,-0.024825239111080366,1.0101784097993338e-05,6.170921573733779e-06,0.7875,1.0
year,best_blend_meta_rust_w65,80,0.9538827699342219,0.9584411112137902,0.9302881996209561,0.9302881996209561,0.9511708301126183,0.015720256142593675,0.9340822669468231,-0.024824141789116627,8.27436912020918e-06,5.137123365028806e-06,0.0,1.0
year,best_blend_meta_rust_multi_w100_620_280,80,0.9538830195677815,0.9584410588325045,0.930287725676269,0.930287725676269,0.9511711568422234,0.015720862843937818,0.9340815308553246,-0.02482232704291587,8.701330777793892e-06,4.6631786779771645e-06,0.2125,1.0
year,rstack_liblinear_s42_j5,80,0.9538812593307255,0.9584414348162881,0.9302837074565605,0.9302837074565605,0.951169424184729,0.015722732688166124,0.9340782417903218,-0.024831637846693844,8.077555279761839e-06,6.449589694534907e-07,0.0,0.9125
year,best_meta_bag_c008_s6,80,0.9538763057816942,0.9584323575017267,0.9302830624975911,0.9302830624975911,0.9511635171098751,0.015718298172454286,0.9340777763425663,-0.02481748184629151,0.0,0.0,0.0,0.0
year,rstack_liblinear_c004_s42_j5,80,0.953879681105262,0.9584393235802326,0.9302815179595771,0.9302815179595771,0.9511677993341067,0.015723557532348685,0.9340702595843711,-0.02482814120390553,6.966078505921125e-06,-1.5445380139311737e-06,0.0,0.6375
year,rstack_liblinear_c006_s42_j5,80,0.9538780694348227,0.9584404909756691,0.9302798983852307,0.9302798983852307,0.9511657217129376,0.015722699534435187,0.9340790516396755,-0.024842566480543282,2.7832476684475083e-06,-3.1641123603431964e-06,0.0,0.6375
