family,name,n_splits,full_auc,private_median,private_p10,private_p05,private_mean,private_std,public_median,gap_median,delta_ref_median,delta_ref_p10,private_win_rate,beats_ref_rate
ALL,rstack_realmlp4_c008_s42_j5,700,0.9539075183053676,0.9539259716028807,0.9511195534076281,0.9490899563224044,0.9536891481547379,0.0059452571294411624,0.9536577195240383,-0.00015342133987000794,3.1824739752606135e-05,2.5017439107155592e-05,0.7142857142857143,1.0
ALL,rstack_realmlp4_c006_s42_j5,700,0.9539063854056131,0.9539253893157538,0.9511155513491142,0.9490886551203811,0.953687868657115,0.005945320176368237,0.9536591522534066,-0.00015313884902057318,3.0319655156541003e-05,2.4541583986348314e-05,0.28285714285714286,1.0
ALL,rstack_realmlp4_c012_s42_j5,700,0.9539013208342277,0.9539202230813559,0.9511132790035925,0.9490869600151245,0.9536826803431345,0.0059458950593149614,0.9536540911358964,-0.00015664465181941534,2.552666335287057e-05,1.8754435095891252e-05,0.0,1.0
ALL,rstack_realmlp4_c004_s42_j5,700,0.953902303085188,0.953919423047228,0.9511116905122854,0.9490850296329242,0.9536838374951201,0.005945968640999085,0.9536548199042836,-0.00015432353578220814,2.6330306254707114e-05,2.033634204082757e-05,0.002857142857142857,1.0
ALL,best_rust_csweep_stack,700,0.9538841133453734,0.953901317589873,0.9510895535667006,0.949065637158087,0.9536655770552972,0.005948726163455979,0.9536346531098916,-0.0001349358631151376,7.921476908034908e-06,5.383968083338964e-06,0.0,1.0
ALL,best_blend_meta_rust_multi_w100_620_280,700,0.9538830195677815,0.9539006106206687,0.9510892701512029,0.9490647213832865,0.9536644856774237,0.005948778997958828,0.9536338751333711,-0.00013663510361511255,6.812430505431788e-06,4.3561499380784244e-06,0.0,1.0
ALL,best_blend_meta_rust_w65,700,0.9538827699342219,0.9539005635878328,0.9510892309882185,0.9490643377203415,0.9536642225019911,0.0059485870176807275,0.9536335302697594,-0.00013650989981384143,6.545631742238545e-06,4.35375338283528e-06,0.0,1.0
ALL,best_meta_bag_c008_s6,700,0.9538763057816942,0.9538946449135143,0.951083103862333,0.949056294954151,0.9536575906008147,0.0059480022335115105,0.9536311455053497,-0.00013268336327093566,0.0,0.0,0.0,0.0
ALL,v15_realmlp_avg4,700,0.9499692032432487,0.9500000548447192,0.947006470285749,0.9448202850819648,0.9497068390846799,0.006149611918926071,0.9496641509115618,-0.00036601599100866133,-0.003915322261437482,-0.004070104995257062,0.0,0.0
race_year,rstack_realmlp4_c008_s42_j5,300,0.9539075183053676,0.9538907947531857,0.9507282575317019,0.9502308125006954,0.9539309266082625,0.002317834315455099,0.9531188358987134,-0.00088520571713957,3.1650805854765984e-05,2.5023086967557173e-05,0.7133333333333334,1.0
race_year,rstack_realmlp4_c006_s42_j5,300,0.9539063854056131,0.9538922957074384,0.9507265891048591,0.9502310261423874,0.9539296020231242,0.0023179976042502323,0.9531135171166656,-0.000889869859919401,3.0168395457386143e-05,2.33419990373851e-05,0.2833333333333333,1.0
race_year,rstack_realmlp4_c004_s42_j5,300,0.953902303085188,0.9538858850309725,0.9507208218812366,0.9502258739594597,0.9539255407290324,0.0023179987131084854,0.9531126424489,-0.0008806134682455835,2.6048813546397653e-05,1.9840422840711192e-05,0.0033333333333333335,1.0
race_year,rstack_realmlp4_c012_s42_j5,300,0.9539013208342277,0.9538847345889705,0.9507202307760285,0.9502243571520111,0.9539246016467484,0.002317932349784803,0.9531178197628496,-0.0008782646132547978,2.509363476904669e-05,1.8038257072672258e-05,0.0,1.0
race_year,best_rust_csweep_stack,300,0.9538841133453734,0.9538663769954366,0.9507003639876872,0.9502046090395356,0.9539074008292509,0.002319417349084929,0.9531061118360039,-0.0008804494300834742,7.803032404163357e-06,5.256176348678032e-06,0.0,1.0
race_year,best_blend_meta_rust_w65,300,0.9538827699342219,0.9538649440132214,0.950699844012187,0.9502028805502565,0.9539060323833621,0.002319505861086723,0.953104053578907,-0.0008759611109564469,6.3234635070963385e-06,4.128421060267673e-06,0.0,1.0
race_year,best_blend_meta_rust_multi_w100_620_280,300,0.9538830195677815,0.9538651004682249,0.9506997984673662,0.950203259114984,0.9539062968289573,0.002319502481930214,0.9531054750119134,-0.0008773172221021031,6.62912090204637e-06,4.108362844146285e-06,0.0,1.0
race_year,best_meta_bag_c008_s6,300,0.9538763057816942,0.9538584471879215,0.9506939080215147,0.9501974736333024,0.9538995578496161,0.0023197333151195212,0.9530979946260923,-0.0008681826238374768,0.0,0.0,0.0,0.0
race_year,v15_realmlp_avg4,300,0.9499692032432487,0.9499959680451916,0.9466859852327575,0.9462251498314863,0.9499835564485587,0.0024057822902772124,0.9490133021819699,-0.0009718888710306128,-0.003909253339395957,-0.004077820076545191,0.0,0.0
stratified,rstack_realmlp4_c008_s42_j5,300,0.9539075183053676,0.9539090575818684,0.9537190983918316,0.9536725016373583,0.9539068049024816,0.0001434666454002712,0.9539005807756991,-8.973025207192897e-06,3.159608574926365e-05,2.6060387861093216e-05,0.7433333333333333,1.0
stratified,rstack_realmlp4_c006_s42_j5,300,0.9539063854056131,0.9539064361585892,0.9537188770135302,0.9536726717721415,0.9539056592113555,0.00014344138130611796,0.9539063482942629,-8.786432631469054e-08,3.045432191201014e-05,2.4698267492040406e-05,0.25333333333333335,1.0
stratified,rstack_realmlp4_c012_s42_j5,300,0.9539013208342277,0.9539018317146108,0.9537151119912954,0.953666737940001,0.9539004291953749,0.0001434136813295683,0.9538997271569241,-2.104557686788411e-06,2.5364156179208397e-05,1.943474662297051e-05,0.0,1.0
stratified,rstack_realmlp4_c004_s42_j5,300,0.953902303085188,0.9539031249138334,0.9537144873698945,0.9536672774469885,0.9539016605048516,0.00014354430018826434,0.9538994559021728,-3.6690116606563627e-06,2.6493618115464024e-05,2.0787452479353874e-05,0.0033333333333333335,1.0
stratified,best_rust_csweep_stack,300,0.9538841133453734,0.9538839619578889,0.9536974350744977,0.9536491700805728,0.9538831933674754,0.0001434005993472203,0.9538846308336544,6.688757654416122e-07,7.8109954893546e-06,5.456330292663569e-06,0.0,1.0
stratified,best_blend_meta_rust_multi_w100_620_280,300,0.9538830195677815,0.9538823480704729,0.9536968552991179,0.9536501575241783,0.9538821490421503,0.000143395086347667,0.9538856365502957,3.288479822782797e-06,6.7263185730137565e-06,4.5380035457731616e-06,0.0,1.0
stratified,best_blend_meta_rust_w65,300,0.9538827699342219,0.9538822951011303,0.9536964638699099,0.9536502246432487,0.9538819117596599,0.00014336603845514342,0.9538845596648664,2.2645637361429216e-06,6.427133289299558e-06,4.413449339324416e-06,0.0,1.0
