family,name,n_splits,full_auc,private_median,private_p10,private_p05,private_mean,private_std,public_median,gap_median,delta_ref_median,delta_ref_p10,private_win_rate,beats_ref_rate
ALL,rstack_realmlp6avg_cbag_all4,820,0.9539196094286719,0.9539371602835585,0.9510216580992775,0.9339658880392028,0.9533638306790616,0.00625830515207153,0.953670590500983,-0.00012335018931347586,4.3561392619850814e-05,3.6105453508583627e-05,0.22439024390243903,1.0
ALL,rstack_realmlp6avg_cbag_004_006_008,820,0.953919761281225,0.9539370970202696,0.9510215304659908,0.9339675375041722,0.9533640315751485,0.006258336885092373,0.9536713355365216,-0.00012270779133477516,4.3956350963547663e-05,3.6335513559604406e-05,0.3426829268292683,1.0
ALL,rstack_realmlp6avg_cbag_004_008,820,0.9539194595769612,0.9539365944723613,0.9510209972320194,0.9339670503398737,0.9533637002519008,0.006258491332632095,0.9536706620764496,-0.0001219502597356037,4.359249939867027e-05,3.61801674709783e-05,0.08658536585365853,1.0
ALL,rstack_realmlp6avg_c004_s42_j5,820,0.9539194112314029,0.953935589783219,0.9510197994234556,0.933966691930434,0.9533636482467823,0.006258923187382956,0.9536710362209341,-0.00011457495230654535,4.335361176188712e-05,3.557748743493461e-05,0.3463414634146341,1.0
ALL,rstack_realmlp6avg_c006_s42_j5,820,0.9539160201125667,0.9539335926814183,0.9510179847126842,0.9339623180727712,0.9533602873102154,0.00625866042766194,0.9536665672277385,-0.00012336148955649495,4.037880433616081e-05,3.2285732883530204e-05,0.0,1.0
ALL,rstack_realmlp6avg_c008_s42_j5,820,0.9539141810618398,0.9539316889622301,0.951016392866015,0.9339599271401323,0.9533583579857445,0.006258671387968704,0.9536628607572695,-0.0001274100389616617,3.839558029983259e-05,2.9833502708609404e-05,0.0,1.0
ALL,best_meta_bag_c008_s6,820,0.9538763057816942,0.9538914990280991,0.9509805033884278,0.9339016667188018,0.9533199873349653,0.006262991438104173,0.953627530051444,-0.00011628114769463016,0.0,0.0,0.0,0.0
race_year,rstack_realmlp6avg_cbag_all4,350,0.9539196094286719,0.9539055653523538,0.9510107917919653,0.9503763405405559,0.9539518399304576,0.0022480473296188756,0.953148596012906,-0.0008059999587612943,4.3042709513441135e-05,3.638840646053021e-05,0.26571428571428574,1.0
race_year,rstack_realmlp6avg_c004_s42_j5,350,0.9539194112314029,0.9539061292231648,0.9510107818114113,0.9503754712341456,0.9539517809087737,0.0022485376546836707,0.9531409707937091,-0.0008057899416832881,4.3180412328813755e-05,3.6372698523667867e-05,0.42,1.0
race_year,rstack_realmlp6avg_cbag_004_008,350,0.9539194595769612,0.9539055011061739,0.9510107594153485,0.9503761226245997,0.9539517265161952,0.002248101847554591,0.9531450576627433,-0.0008074334053330134,4.299880518399135e-05,3.630690366999145e-05,0.06285714285714286,1.0
race_year,rstack_realmlp6avg_cbag_004_006_008,350,0.953919761281225,0.953905855407227,0.9510105328723456,0.9503761928387199,0.9539520188553222,0.0022481296452659966,0.953148932665955,-0.0008074896092511996,4.307022402844085e-05,3.643133226776119e-05,0.25142857142857145,1.0
race_year,rstack_realmlp6avg_c006_s42_j5,350,0.9539160201125667,0.953901798187239,0.9510054387338018,0.9503716156134053,0.9539482427403686,0.0022484024141692237,0.9531526884765357,-0.0008086278358177545,3.9534004621033514e-05,3.268464919433667e-05,0.0,1.0
race_year,rstack_realmlp6avg_c008_s42_j5,350,0.9539141810618398,0.9538996452080775,0.9510050800968846,0.9503711597221982,0.9539463346800076,0.0022478907982687087,0.9531426480250162,-0.0008098284731943295,3.766504547375593e-05,3.0258434693775093e-05,0.0,1.0
race_year,best_meta_bag_c008_s6,350,0.9538763057816942,0.9538584471879215,0.9509624684665285,0.950326826957455,0.9539085515174639,0.0022507612132096175,0.9531212665153661,-0.0008092840124225842,0.0,0.0,0.0,0.0
stratified,rstack_realmlp6avg_cbag_all4,350,0.9539196094286719,0.9539225555632118,0.9537286978397295,0.9536796319462951,0.953919661329518,0.00014870697427139023,0.9539067643266625,-1.5791236549267396e-05,4.3745941406825306e-05,3.785642661067179e-05,0.26,1.0
stratified,rstack_realmlp6avg_cbag_004_006_008,350,0.953919761281225,0.9539230199599765,0.9537284525133887,0.9536792918114395,0.953919865800766,0.00014868926349748623,0.953905643926603,-1.7376033373484034e-05,4.398867519828098e-05,3.817026742364282e-05,0.34,1.0
stratified,rstack_realmlp6avg_cbag_004_008,350,0.9539194595769612,0.9539224090079195,0.9537279858646642,0.953678427910438,0.9539195106726236,0.00014868754344696199,0.9539073922387105,-1.5642031122142797e-05,4.3751863603058716e-05,3.783817201293838e-05,0.10857142857142857,1.0
stratified,rstack_realmlp6avg_c004_s42_j5,350,0.9539194112314029,0.953921244673652,0.9537274092664284,0.9536778116716135,0.953919368146894,0.00014878792489415998,0.9539096875337869,-1.159391848265523e-05,4.353741910051445e-05,3.7660495961044926e-05,0.2914285714285714,1.0
stratified,rstack_realmlp6avg_c006_s42_j5,350,0.9539160201125667,0.9539195363615203,0.9537248439794687,0.9536756556439931,0.9539162215756471,0.00014870337101443657,0.9539011403657105,-1.8395995809716847e-05,4.036589242345512e-05,3.418295695349905e-05,0.0,1.0
stratified,rstack_realmlp6avg_c008_s42_j5,350,0.9539141810618398,0.9539179489079412,0.9537233100493261,0.9536735081794109,0.9539143265356171,0.000148605967305177,0.9539011651731166,-1.6783734824610264e-05,3.833943381342797e-05,3.260868979239051e-05,0.0,1.0
stratified,best_meta_bag_c008_s6,350,0.9538763057816942,0.953880054909698,0.9536827573713438,0.9536341599998778,0.9538761485412345,0.00014864857444543125,0.9538607957965993,-1.9576929153997114e-05,0.0,0.0,0.0,0.0
year,rstack_realmlp6avg_cbag_004_006_008,120,0.953919761281225,0.9584763138526903,0.9303429283154039,0.9303429283154039,0.9500278855165902,0.015485307272231784,0.9341555748196269,-0.02481102089452558,4.3956350963547663e-05,3.163660049843031e-05,0.6166666666666667,1.0
year,rstack_realmlp6avg_cbag_all4,120,0.9539196094286719,0.9584759188943466,0.9303428837006537,0.9303428837006537,0.9500276309653259,0.01548524037641763,0.9341523318532836,-0.024810185772020543,4.3561392619850814e-05,3.237488196505822e-05,0.0,1.0
year,rstack_realmlp6avg_cbag_004_008,120,0.9539194595769612,0.9584759500011254,0.93034199997511,0.93034199997511,0.9500275099206004,0.015485734259761616,0.934155220008654,-0.024810920685918947,4.359249939867027e-05,3.153467357952522e-05,0.09166666666666666,1.0
year,rstack_realmlp6avg_c004_s42_j5,120,0.9539194112314029,0.9584744595206791,0.9303407293920146,0.9303407293920146,0.9500274116073156,0.01548672726043842,0.9341510333581392,-0.024803911924893618,4.2102018952383524e-05,3.3315945965561866e-05,0.2916666666666667,1.0
year,rstack_realmlp6avg_c006_s42_j5,120,0.9539160201125667,0.9584732341665864,0.9303380755374274,0.9303380755374274,0.9500239423647595,0.015486035097042588,0.9341505768327047,-0.02481310815486415,4.0876664859634815e-05,2.802538791801812e-05,0.0,1.0
year,rstack_realmlp6avg_c008_s42_j5,120,0.9539141810618398,0.9584727517527701,0.9303356079079138,0.9303356079079138,0.950021851023683,0.015486243869264971,0.9341523363144443,-0.024820511114018617,4.0394251043407436e-05,2.4823489969239e-05,0.0,1.0
year,best_meta_bag_c008_s6,120,0.9538763057816942,0.9584323575017267,0.9302830624975911,0.9302830624975911,0.9499812049510602,0.015496382257533265,0.9340777763425663,-0.02481748184629151,0.0,0.0,0.0,0.0
