split_id,family,name,public_n,private_n,public_pos,private_pos,public_auc,private_auc,private_delta_ref,private_rank
0,stratified,rstack_realmlp6avg_meta_c014_s10,87828,351312,17476,69905,0.9539447326716186,0.95400852544161,0.00011398107834481586,1
0,stratified,rstack_realmlp6avg_meta_c016_s10,87828,351312,17476,69905,0.9539439868227223,0.9540031058441839,0.00010856148091875628,2
0,stratified,rstack_realmlp6avg_meta_c012_s10,87828,351312,17476,69905,0.9539082031562126,0.9539685884381914,7.404407492628273e-05,3
0,stratified,rstack_realmlp6avg_meta_c010_s10,87828,351312,17476,69905,0.9539011952673468,0.953960089705432,6.55453421668506e-05,4
0,stratified,best_meta_bag_c008_s6,87828,351312,17476,69905,0.9538036655605351,0.9538945443632652,0.0,5
1,stratified,rstack_realmlp6avg_meta_c014_s10,87828,351312,17476,69905,0.9532250096340578,0.9541892508399658,0.00012395349751570528,1
1,stratified,rstack_realmlp6avg_meta_c016_s10,87828,351312,17476,69905,0.9532235675510774,0.9541840956317437,0.00011879828929362013,2
1,stratified,rstack_realmlp6avg_meta_c012_s10,87828,351312,17476,69905,0.9531857879050788,0.954149840886589,8.454354413900411e-05,3
1,stratified,rstack_realmlp6avg_meta_c010_s10,87828,351312,17476,69905,0.9531812396095196,0.9541408384367323,7.554109428220546e-05,4
1,stratified,best_meta_bag_c008_s6,87828,351312,17476,69905,0.953123882446692,0.95406529734245,0.0,5
2,stratified,rstack_realmlp6avg_meta_c014_s10,87828,351312,17476,69905,0.9535574361951564,0.954105159466942,0.0001241074746161086,1
2,stratified,rstack_realmlp6avg_meta_c016_s10,87828,351312,17476,69905,0.953549427063116,0.9541014187231697,0.00012036673084381277,2
2,stratified,rstack_realmlp6avg_meta_c012_s10,87828,351312,17476,69905,0.9535201917384422,0.9540653454316996,8.429343937377265e-05,3
2,stratified,rstack_realmlp6avg_meta_c010_s10,87828,351312,17476,69905,0.9535139833800725,0.9540566354824158,7.55834900899588e-05,4
2,stratified,best_meta_bag_c008_s6,87828,351312,17476,69905,0.9534589760072789,0.9539810519923259,0.0,5
3,stratified,rstack_realmlp6avg_meta_c014_s10,87828,351312,17476,69905,0.95426462783256,0.953927941177907,0.00011256824059269199,1
3,stratified,rstack_realmlp6avg_meta_c016_s10,87828,351312,17476,69905,0.9542605276970247,0.9539234160608567,0.00010804312354240064,2
3,stratified,rstack_realmlp6avg_meta_c012_s10,87828,351312,17476,69905,0.9542248107258361,0.953888982124788,7.360918747367773e-05,3
3,stratified,rstack_realmlp6avg_meta_c010_s10,87828,351312,17476,69905,0.9542116928948674,0.9538819792930299,6.660635571553719e-05,4
3,stratified,best_meta_bag_c008_s6,87828,351312,17476,69905,0.9541202527962193,0.9538153729373143,0.0,5
4,stratified,rstack_realmlp6avg_meta_c014_s10,87828,351312,17476,69905,0.9530923607738749,0.954220595016332,0.00012140268308180602,1
4,stratified,rstack_realmlp6avg_meta_c016_s10,87828,351312,17476,69905,0.9530830559632176,0.9542173008519018,0.00011810851865157179,2
4,stratified,rstack_realmlp6avg_meta_c012_s10,87828,351312,17476,69905,0.9530480433596888,0.954182610609283,8.341827603275398e-05,3
4,stratified,rstack_realmlp6avg_meta_c010_s10,87828,351312,17476,69905,0.9530420220735616,0.9541739227220862,7.473038883598626e-05,4
4,stratified,best_meta_bag_c008_s6,87828,351312,17476,69905,0.9529811341255011,0.9540991923332502,0.0,5
5,stratified,rstack_realmlp6avg_meta_c014_s10,87828,351312,17476,69905,0.9543296378768104,0.9539114339075612,0.00011831948100426981,1
5,stratified,rstack_realmlp6avg_meta_c016_s10,87828,351312,17476,69905,0.9543235084141255,0.9539073258859578,0.00011421145940093691,2
5,stratified,rstack_realmlp6avg_meta_c012_s10,87828,351312,17476,69905,0.9542870203799559,0.9538730004302892,7.988600373232124e-05,3
5,stratified,rstack_realmlp6avg_meta_c010_s10,87828,351312,17476,69905,0.9542797457098056,0.9538648454899133,7.173106335645052e-05,4
5,stratified,best_meta_bag_c008_s6,87828,351312,17476,69905,0.9542073658325687,0.9537931144265569,0.0,5
6,stratified,rstack_realmlp6avg_meta_c014_s10,87828,351312,17476,69905,0.9544875341694771,0.9538750713689135,0.0001165375353863185,1
6,stratified,rstack_realmlp6avg_meta_c016_s10,87828,351312,17476,69905,0.954483680481287,0.9538704658828319,0.00011193204930470824,2
6,stratified,rstack_realmlp6avg_meta_c012_s10,87828,351312,17476,69905,0.9544480114981952,0.9538359311931768,7.739735964962247e-05,3
6,stratified,rstack_realmlp6avg_meta_c010_s10,87828,351312,17476,69905,0.9544366993210429,0.9538283615589528,6.982772542563076e-05,4
6,stratified,best_meta_bag_c008_s6,87828,351312,17476,69905,0.9543569048761529,0.9537585338335272,0.0,5
7,stratified,rstack_realmlp6avg_meta_c014_s10,87828,351312,17476,69905,0.9538179603199147,0.9540394436265266,0.0001224496663632113,1
7,stratified,rstack_realmlp6avg_meta_c016_s10,87828,351312,17476,69905,0.9538142522227305,0.954034892685651,0.0001178987254876196,2
7,stratified,rstack_realmlp6avg_meta_c012_s10,87828,351312,17476,69905,0.9537828850878528,0.9539993011000255,8.230713986212557e-05,3
7,stratified,rstack_realmlp6avg_meta_c010_s10,87828,351312,17476,69905,0.9537748328478608,0.953991132231051,7.413827088764702e-05,4
