family,name,n_splits,full_auc,private_median,private_p10,private_p05,private_mean,private_std,public_median,gap_median,delta_ref_median,delta_ref_p10,private_win_rate,beats_ref_rate
ALL,rstack_realmlp6avg_meta_c014_s10,720,0.9539955667264132,0.954017915979933,0.9510463441686763,0.934059247435838,0.9536947694640652,0.006352223423392523,0.9537025631805753,-0.0001628988091442185,0.00011869366382949442,0.00010047798817708342,1.0,1.0
ALL,rstack_realmlp6avg_meta_c016_s10,720,0.9539910623583725,0.9540135196118633,0.9510414208463647,0.9340542094636194,0.953690203894794,0.006352695848482368,0.9536967920019023,-0.00016624810492682496,0.00011412064392057886,9.622296601543568e-05,0.0,1.0
ALL,rstack_realmlp6avg_meta_c012_s10,720,0.9539563033008343,0.953978799575244,0.9510026208178141,0.9340051272096562,0.9536551955190545,0.0063572338929988245,0.9536624890528578,-0.00016567841741826905,7.948908950333733e-05,6.40116355068443e-05,0.0,1.0
ALL,rstack_realmlp6avg_meta_c010_s10,720,0.9539481492010078,0.9539700138583325,0.9509937693444848,0.9339960845104361,0.953646958611065,0.006358027852210083,0.9536578724352622,-0.00016396095211679285,7.194549459355049e-05,5.472172794661612e-05,0.0,1.0
ALL,best_meta_bag_c008_s6,720,0.9538763057816942,0.9538997338846409,0.9509029379965521,0.9339016667188018,0.9535754360965883,0.006368998251578354,0.9535919392301645,-0.000149580214610312,0.0,0.0,0.0,0.0
race_year,rstack_realmlp6avg_meta_c014_s10,300,0.9539955667264132,0.9539797729400432,0.9508234501519514,0.9503303744398198,0.9540182402310904,0.0023128861944795415,0.9532171538835148,-0.0008666770594332185,0.00011859674455833025,0.00010513158064707761,1.0,1.0
race_year,rstack_realmlp6avg_meta_c016_s10,300,0.9539910623583725,0.9539759731108233,0.950819283449351,0.9503254816245322,0.9540137258966699,0.0023130887598364195,0.9532112231627876,-0.0008699415612312689,0.00011398109106669496,0.00010033573370363814,0.0,1.0
race_year,rstack_realmlp6avg_meta_c012_s10,300,0.9539563033008343,0.9539403260072664,0.9507818046119736,0.9502884662453244,0.9539789172108261,0.0023146562534048145,0.9531759103561466,-0.0008763147482560019,7.97853608708321e-05,6.646063115083312e-05,0.0,1.0
race_year,rstack_realmlp6avg_meta_c010_s10,300,0.9539481492010078,0.9539329622718344,0.9507746519274614,0.9502802104041157,0.9539707511023342,0.0023149181548055486,0.9531670284265161,-0.0008779002189542862,7.1508537933751e-05,5.867747816955538e-05,0.0,1.0
race_year,best_meta_bag_c008_s6,300,0.9538763057816942,0.9538584471879215,0.9506939080215147,0.9501974736333024,0.9538995578496161,0.0023197333151195212,0.9530979946260923,-0.0008681826238374768,0.0,0.0,0.0,0.0
stratified,rstack_realmlp6avg_meta_c014_s10,300,0.9539955667264132,0.9539955912380916,0.9538126555490399,0.9537645697866967,0.9539946583479949,0.0001431183596317418,0.9539896084557798,-6.372787268948965e-06,0.00011995934474856584,0.00010926061015585909,1.0,1.0
stratified,rstack_realmlp6avg_meta_c016_s10,300,0.9539910623583725,0.9539913310185886,0.953808189862372,0.9537603512894467,0.953990155434182,0.0001430081139636953,0.9539844298081002,-7.07120222154245e-06,0.00011539185730768953,0.00010498549111882527,0.0,1.0
stratified,rstack_realmlp6avg_meta_c012_s10,300,0.9539563033008343,0.95395656119487,0.9537737242158658,0.9537247398276093,0.9539554051460855,0.00014316417481497333,0.9539505286576977,-5.683102181297528e-06,8.052636343314212e-05,7.043390414187555e-05,0.0,1.0
stratified,rstack_realmlp6avg_meta_c010_s10,300,0.9539481492010078,0.9539485748464565,0.9537652085146163,0.9537166383903362,0.9539472981748209,0.00014318877024804857,0.9539409509655739,-7.5489765387071195e-06,7.243166170506354e-05,6.276801008369138e-05,0.0,1.0
stratified,best_meta_bag_c008_s6,300,0.9538763057816942,0.9538761895710518,0.9536886956108183,0.9536426413854318,0.9538753863206254,0.00014331316807563265,0.9538772626273828,8.690328604510356e-07,0.0,0.0,0.0,0.0
year,rstack_realmlp6avg_meta_c014_s10,120,0.9539955667264132,0.9585467327576745,0.9304619391523407,0.9304619391523407,0.9521363703366773,0.01502546559846584,0.9342452804317315,-0.02478937602015341,0.00011437525594781839,7.862017570625657e-05,1.0,1.0
year,rstack_realmlp6avg_meta_c016_s10,120,0.9539910623583725,0.9585431739351785,0.9304554653003623,0.9304554653003623,0.9521315200416346,0.015026553199180488,0.9342437098057906,-0.024794799279780344,0.00011081643345178804,7.703221492560974e-05,0.0,1.0
year,rstack_realmlp6avg_meta_c012_s10,120,0.9539563033008343,0.9585108671016451,0.9304037128328683,0.9304037128328683,0.9520953672220488,0.015037315070848356,0.9341918931280465,-0.024808549105835964,7.850959991839712e-05,5.135985728654813e-05,0.0,1.0
year,rstack_realmlp6avg_meta_c010_s10,120,0.9539481492010078,0.9585043029963203,0.9303921493109086,0.9303921493109086,0.9520866284735023,0.015039165288767099,0.9341870218380854,-0.024817358289033864,7.194549459355049e-05,4.769927674241892e-05,0.0,1.0
year,best_meta_bag_c008_s6,120,0.9538763057816942,0.9584323575017267,0.9302830624975911,0.9302830624975911,0.952015256153927,0.015065153666836736,0.9340777763425663,-0.02481748184629151,0.0,0.0,0.0,0.0
